COG_letter	COG_description	COG_category	COG_number	annotation	cluster
P	NADPH-dependent ferric siderophore reductase, contains FAD-binding and SIP domains	Inorganic ion transport and metabolism	COG2375	P:[Inorganic ion transport and metabolism]	3
R	Flavin-binding protein dodecin	General function prediction only	COG3360	R:[General function prediction only]	3
H	4-hydroxybenzoate synthetase (chorismate-pyruvate lyase)	Coenzyme transport and metabolism	COG3161	H:[Coenzyme transport and metabolism]	3
K	Transcriptional regulator of competence genes, TfoX/Sxy family	Transcription	COG3070	K:[Transcription]	3
G	Phosphoglucomutase/phosphomannomutase	Carbohydrate transport and metabolism	COG0033	G:[Carbohydrate transport and metabolism]	3
L	DNA repair exonuclease SbcCD ATPase subunit	Replication, recombination and repair	COG0419	L:[Replication, recombination and repair]	3
R	Predicted flavin-containing amine oxidase	General function prediction only	COG2907	R:[General function prediction only]	3
G	ABC-type xylose transport system, periplasmic component	Carbohydrate transport and metabolism	COG4213	G:[Carbohydrate transport and metabolism]	3
G	Gluconate kinase	Carbohydrate transport and metabolism	COG3265	G:[Carbohydrate transport and metabolism]	3
G	Methylglyoxal synthase	Carbohydrate transport and metabolism	COG1803	G:[Carbohydrate transport and metabolism]	3
T	Chemotaxis receptor (MCP) glutamine deamidase CheD	Signal transduction mechanisms	COG1871	T:[Signal transduction mechanisms]	3
P	Multisubunit Na+/H+ antiporter, MnhE subunit	Inorganic ion transport and metabolism	COG1863	P:[Inorganic ion transport and metabolism]	3
L	Site-specific recombinase XerC	Replication, recombination and repair	COG4973	L:[Replication, recombination and repair]	3
N	Flagellar biosynthesis/Type III secretion system protein FliN/YscQ/SpaO/HrcQ, SctQ family	Cell motility	COG1886	N:[Cell motility]	3
E	Na+/alanine symporter	Amino acid transport and metabolism	COG1115	E:[Amino acid transport and metabolism]	3
K	Predicted DNA-binding protein with double-wing structural motif, MmcQ/YjbR family	Transcription	COG2315	K:[Transcription]	3
N	Type IV pilus major pilin PilA	Cell motility	COG4969	N:[Cell motility]	3
M	Outer membrane scaffolding protein for murein synthesis, MipA/OmpV family	Cell wall/membrane/envelope biogenesis	COG3713	M:[Cell wall/membrane/envelope biogenesis]	3
D	Septum formation topological specificity factor MinE	Cell cycle control, cell division, chromosome partitioning	COG0851	D:[Cell cycle control, cell division, chromosome partitioning]	3
N	Flagellar biosynthesis chaperone FliJ	Cell motility	COG2882	N:[Cell motility]	3
H	Ubiquinone biosynthesis protein UbiJ, contains SCP2 domain	Coenzyme transport and metabolism	COG3165	H:[Coenzyme transport and metabolism]	3
L	G:T/U-mismatch repair DNA glycosylase	Replication, recombination and repair	COG3663	L:[Replication, recombination and repair]	3
X	Phage repressor protein C, contains Cro/C1-type HTH and peptidase S24 domains	Mobilome: prophages, transposons	COG2932	X:[Mobilome: prophages, transposons]	3
M	Cell shape-determining protein MreD	Cell wall/membrane/envelope biogenesis	COG2891	M:[Cell wall/membrane/envelope biogenesis]	3
M	Outer membrane lipoprotein LolB, involved in outer membrane biogenesis	Cell wall/membrane/envelope biogenesis	COG3017	M:[Cell wall/membrane/envelope biogenesis]	3
P	Cu/Zn superoxide dismutase	Inorganic ion transport and metabolism	COG2032	P:[Inorganic ion transport and metabolism]	3
K	DNA-binding protein Fis (factor for inversion stimulation)	Transcription	COG2901	K:[Transcription]	3
M	Lipopolysaccharide export system protein LptC	Cell wall/membrane/envelope biogenesis	COG3117	M:[Cell wall/membrane/envelope biogenesis]	3
N	Flagellar biogenesis protein FliO	Cell motility	COG3190	N:[Cell motility]	3
P	Mg2+ and Co2+ transporter CorC, contains CBS pair and CorC-HlyC domains	Inorganic ion transport and metabolism	COG4535	P:[Inorganic ion transport and metabolism]	3
Q	Ectoine hydroxylase-related dioxygenase, phytanoyl-CoA dioxygenase (PhyH) family	Secondary metabolites biosynthesis, transport and catabolism	COG5285	Q:[Secondary metabolites biosynthesis, transport and catabolism]	3
O	Stringent starvation protein B, binds SsrA peptide	Posttranslational modification, protein turnover, chaperones	COG2969	O:[Posttranslational modification, protein turnover, chaperones]	3
V	Putative antitoxin component PasI (RatB) of the RatAB toxin-antitoxin module, ubiquitin-RnfH superfamily	Defense mechanisms	COG2914	V:[Defense mechanisms]	3
D	Cell division protein FtsL, interacts with FtsB and FtsQ	Cell cycle control, cell division, chromosome partitioning	COG3116	D:[Cell cycle control, cell division, chromosome partitioning]	3
M	Lipopolysaccharide export system lipoprotein LptE/RlpB	Cell wall/membrane/envelope biogenesis	COG2980	M:[Cell wall/membrane/envelope biogenesis]	3
E	NAD-specific glutamate dehydrogenase	Amino acid transport and metabolism	COG2902	E:[Amino acid transport and metabolism]	3
E	Proline dehydrogenase	Amino acid transport and metabolism	COG0506	E:[Amino acid transport and metabolism]	3
G	DNA-binding protein, stimulates sugar fermentation	Carbohydrate transport and metabolism	COG1489	G:[Carbohydrate transport and metabolism]	3
K	DNA-binding transcriptional regulator GbsR, MarR family	Transcription	COG1510	K:[Transcription]	3
P	Multisubunit Na+/H+ antiporter, MnhG subunit	Inorganic ion transport and metabolism	COG1320	P:[Inorganic ion transport and metabolism]	3
P	Multisubunit Na+/H+ antiporter, MnhF subunit	Inorganic ion transport and metabolism	COG2212	P:[Inorganic ion transport and metabolism]	3
R	Proteobacterial HemX domain, involved in 2-ketogluconate production (unrelated to B. subtilis HemX, COG0755, no evidence of involvement in heme biosynthesis)	General function prediction only	COG2959	R:[General function prediction only]	3
E	Asp/Glu/hydantoin racemase	Amino acid transport and metabolism	COG4126	E:[Amino acid transport and metabolism]	3
G	Maltooligosyltrehalose synthase	Carbohydrate transport and metabolism	COG3280	G:[Carbohydrate transport and metabolism]	3
E	5-oxoprolinase subunit A	Amino acid transport and metabolism	COG1540	E:[Amino acid transport and metabolism]	3
C	NhaP-type Na+/H+ and K+/H+ antiporter with C-terminal TrkAC and CorC domains	Energy production and conversion	COG3263	C:[Energy production and conversion]	3
U	Type II secretory pathway, component PulK	Intracellular trafficking, secretion, and vesicular transport	COG3156	U:[Intracellular trafficking, secretion, and vesicular transport]	3
O	Urease accessory protein UreD/UreH	Posttranslational modification, protein turnover, chaperones	COG0829	O:[Posttranslational modification, protein turnover, chaperones]	3
E	Urease gamma subunit	Amino acid transport and metabolism	COG0831	E:[Amino acid transport and metabolism]	3
C	Cytochrome c5	Energy production and conversion	COG3245	C:[Energy production and conversion]	3
E	Urease alpha subunit	Amino acid transport and metabolism	COG0804	E:[Amino acid transport and metabolism]	3
O	Urease accessory protein UreF	Posttranslational modification, protein turnover, chaperones	COG0830	O:[Posttranslational modification, protein turnover, chaperones]	3
E	S-adenosylmethionine decarboxylase	Amino acid transport and metabolism	COG1586	E:[Amino acid transport and metabolism]	3
E	Tryptophan 2,3-dioxygenase (vermilion)	Amino acid transport and metabolism	COG3483	E:[Amino acid transport and metabolism]	3
O	Periplasmic chaperone Spy, Spy/CpxP family	Posttranslational modification, protein turnover, chaperones	COG3678	O:[Posttranslational modification, protein turnover, chaperones]	3
C	Nitrate reductase beta subunit	Energy production and conversion	COG1140	C:[Energy production and conversion]	3
E	5-oxoprolinase subunit C/Allophanate hydrolase subunit 2	Amino acid transport and metabolism	COG1984	E:[Amino acid transport and metabolism]	3
C	Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfB subunit	Energy production and conversion	COG2878	C:[Energy production and conversion]	3
M	MlaB (STAS domain) subunit of the ABC-type intermembrane phospholipid transporter Mla	Cell wall/membrane/envelope biogenesis	COG3113	M:[Cell wall/membrane/envelope biogenesis]	3
H	Putative GTP cyclohydrolase 1 type 2, NIF3 family	Coenzyme transport and metabolism	COG0327	H:[Coenzyme transport and metabolism]	3
S	General stress protein 26 (function unknown)	Function unknown	COG3871	S:[Function unknown]	3
E	5-oxoprolinase subunit B/Allophanate hydrolase subunit 1	Amino acid transport and metabolism	COG2049	E:[Amino acid transport and metabolism]	3
T	Fermentation-respiration switch esterase FrsA, DUF1100 family	Signal transduction mechanisms	COG1073	T:[Signal transduction mechanisms]	3
I	Membrane-associated phospholipid phosphatase	Lipid transport and metabolism	COG0671	I:[Lipid transport and metabolism]	3
P	Bacterioferritin-associated ferredoxin	Inorganic ion transport and metabolism	COG2906	P:[Inorganic ion transport and metabolism]	3
P	Putative heme iron utilization protein, contains PNPOx domain	Inorganic ion transport and metabolism	COG0748	P:[Inorganic ion transport and metabolism]	3
P	Multisubunit Na+/H+ antiporter, MnhC subunit	Inorganic ion transport and metabolism	COG1006	P:[Inorganic ion transport and metabolism]	3
G	Chitooligosaccharide deacetylase ChbG, YdjC/CelG family	Carbohydrate transport and metabolism	COG3394	G:[Carbohydrate transport and metabolism]	3
M	Phage shock protein A involved in membrane remodeling, PspA/Vipp1/IM30 family	Cell wall/membrane/envelope biogenesis	COG1842	M:[Cell wall/membrane/envelope biogenesis]	3
K	DNA-binding transcriptional regulator ModE (molybdenum-dependent)	Transcription	COG2005	K:[Transcription]	3
S	Uncharacterized coiled-coil protein SlyX (sensitive to lysis X)	Function unknown	COG2900	S:[Function unknown]	3
T	Acid stress protein IbaG/YrbA, BolA-like family	Signal transduction mechanisms	COG5007	T:[Signal transduction mechanisms]	3
C	L-lactate utilization protein LutC, contains LUD domain	Energy production and conversion	COG1556	C:[Energy production and conversion]	3
M	Sialic acid synthase SpsE, contains C-terminal SAF domain	Cell wall/membrane/envelope biogenesis	COG2089	M:[Cell wall/membrane/envelope biogenesis]	3
H	GTP cyclohydrolase FolE2	Coenzyme transport and metabolism	COG1469	H:[Coenzyme transport and metabolism]	3
J	Ribonuclease I	Translation, ribosomal structure and biogenesis	COG3719	J:[Translation, ribosomal structure and biogenesis]	3
R	Membrane-bound metal-dependent hydrolase YbcI, DUF457 family	General function prediction only	COG1988	R:[General function prediction only]	3
J	RNA-binding protein YhbY	Translation, ribosomal structure and biogenesis	COG1534	J:[Translation, ribosomal structure and biogenesis]	3
M	ADP-heptose synthase, bifunctional sugar kinase/adenylyltransferase	Cell wall/membrane/envelope biogenesis	COG2870	M:[Cell wall/membrane/envelope biogenesis]	3
H	Precorrin-6x reductase	Coenzyme transport and metabolism	COG2099	H:[Coenzyme transport and metabolism]	3
J	Ribosome-associated RNA-binding protein YbcJ, S4-like RNA-binding protein	Translation, ribosomal structure and biogenesis	COG2501	J:[Translation, ribosomal structure and biogenesis]	3
G	Uncharacterized conserved protein YibQ, putative polysaccharide deacetylase 2 family	Carbohydrate transport and metabolism	COG2861	G:[Carbohydrate transport and metabolism]	3
G	BadF-type ATPase, related to human N-acetylglucosamine kinase	Carbohydrate transport and metabolism	COG2971	G:[Carbohydrate transport and metabolism]	3
H	Pyridoxal/pyridoxine/pyridoxamine kinase	Coenzyme transport and metabolism	COG2240	H:[Coenzyme transport and metabolism]	3
C	Cytochrome c556	Energy production and conversion	COG3909	C:[Energy production and conversion]	3
C	Glutathionyl-hydroquinone reductase	Energy production and conversion	COG0435	C:[Energy production and conversion]	3
M	Membrane glycosyltransferase	Cell wall/membrane/envelope biogenesis	COG2943	M:[Cell wall/membrane/envelope biogenesis]	3
H	Precorrin-3B methylase	Coenzyme transport and metabolism	COG1010	H:[Coenzyme transport and metabolism]	3
H	Precorrin-8X methylmutase CbiC/CobH	Coenzyme transport and metabolism	COG2082	H:[Coenzyme transport and metabolism]	3
K	DNA-directed RNA polymerase, beta subunit/140 kD subunit	Transcription	COG0085	K:[Transcription]	3
M	Lipopolysaccharide biosynthesis regulator YciM/LapB, contains six TPR domains and a C-terminal metal-binding domain	Cell wall/membrane/envelope biogenesis	COG2956	M:[Cell wall/membrane/envelope biogenesis]	3
E	Saccharopine dehydrogenase, NADP-dependent	Amino acid transport and metabolism	COG1748	E:[Amino acid transport and metabolism]	3
H	Stereoselective (R,S)-S-adenosylmethionine hydrolase (adenosine-forming)	Coenzyme transport and metabolism	COG1912	H:[Coenzyme transport and metabolism]	3
F	5'-deoxynucleotidase YfbR and related HD superfamily hydrolases	Nucleotide transport and metabolism	COG1896	F:[Nucleotide transport and metabolism]	3
V	VapC family ribonuclease, toxin component of the VapBC toxin-antitoxin module, contains PIN domain	Defense mechanisms	COG1848	V:[Defense mechanisms]	3
J	Selenocysteine-specific translation elongation factor SelB	Translation, ribosomal structure and biogenesis	COG3276	J:[Translation, ribosomal structure and biogenesis]	3
F	Thymidylate synthase ThyX, FAD-dependent family	Nucleotide transport and metabolism	COG1351	F:[Nucleotide transport and metabolism]	3
J	3'-5' exoribonuclease YhaM, can participate in 23S rRNA maturation,  HD superfamily	Translation, ribosomal structure and biogenesis	COG3481	J:[Translation, ribosomal structure and biogenesis]	3
R	Uncharacterized conserved protein YacL, contains PIN and TRAM domains	General function prediction only	COG4956	R:[General function prediction only]	3
H	Pyridoxal 5'-phosphate synthase subunit PdxT (glutamine amidotransferase)	Coenzyme transport and metabolism	COG0311	H:[Coenzyme transport and metabolism]	3
H	1,4-Dihydroxy-2-naphthoyl-CoA synthase	Coenzyme transport and metabolism	COG0447	H:[Coenzyme transport and metabolism]	3
G	Transketolase, N-terminal subunit	Carbohydrate transport and metabolism	COG3959	G:[Carbohydrate transport and metabolism]	3
E	Glutamate formiminotransferase	Amino acid transport and metabolism	COG3643	E:[Amino acid transport and metabolism]	3
Q	Carboxysome shell and ethanolamine utilization microcompartment protein CcmK/EutM	Secondary metabolites biosynthesis, transport and catabolism	COG4576	Q:[Secondary metabolites biosynthesis, transport and catabolism]	3
I	Terpene cyclase SqhC	Lipid transport and metabolism	COG1657	I:[Lipid transport and metabolism]	3
